image_name,Annotator 1,Annotator 2,Annotator 3,Final labelling
MAMN (318).jpg,negative,neutral,neutral,neutral
KAM(476).jpg,positive,positive,positive,positive
TAN(130).jpg,negative,negative,negative,negative
MAMN (72).png,neutral,neutral,neutral,neutral
MAMN (1528).jpg,neutral,neutral,neutral,neutral
MAMN (573).jpg,neutral,neutral,neutral,neutral
MAMN (429).jpg,neutral,negative,positive,neutral
TAN(131).jpg,positive,positive,positive,positive
TAN(132).jpg,negative,negative,negative,negative
MAMN (1294).jpg,neutral,neutral,neutral,neutral
MAMN (689).jpg,neutral,neutral,negative,neutral
KAM(1047).jpg,negative,negative,negative,negative
MAMN (502).jpg,neutral,neutral,neutral,neutral
KAM(136).jpg,positive,positive,positive,positive
KAM(619).jpg,positive,neutral,positive,positive
KAM (436).jpg,positive,positive,negative,positive
KAM (366).jpg,positive,positive,positive,positive
KAM(1172).jpg,positive,neutral,positive,positive
KAM(102).png,positive,positive,positive,positive
KAM(1173).jpg,positive,positive,positive,positive
TAN(133).jpg,negative,negative,negative,negative
TAN(134).jpg,negative,neutral,negative,negative
TAN(135).jpg,negative,negative,negative,negative
MAMN (2105).jpg,neutral,neutral,neutral,neutral
MAMN (702).jpg,neutral,negative,neutral,neutral
MAMN (1459).jpg,neutral,neutral,neutral,neutral
TAN(136).jpg,negative,negative,neutral,negative
KAM (153).png,positive,positive,positive,positive
KAM(316).jpg,positive,positive,positive,positive
TAN(137).jpg,neutral,neutral,neutral,neutral
TAN(138).jpg,negative,neutral,negative,negative
MAMN (874).jpg,neutral,neutral,neutral,neutral
KAM(1348).jpg,positive,positive,positive,positive
TAN(139).jpg,negative,negative,negative,negative
TAN(140).jpg,negative,negative,negative,negative
TAN(141).jpeg,negative,negative,negative,negative
KAM(969).jpg,positive,positive,positive,positive
TAN(142).jpg,negative,neutral,negative,negative
KAM(80).jpg,negative,negative,negative,negative
TAN(143).jpg,positive,positive,positive,positive
KAM(15).jpg,positive,positive,positive,positive
MAMN (1476).jpg,negative,neutral,neutral,neutral
TAN(144).jpg,negative,negative,negative,negative
TAN(145).jpg,negative,negative,negative,negative
TAN(146).jpg,neutral,negative,neutral,neutral
KAM(752).jpg,positive,positive,positive,positive
MAMN (1147).jpg,neutral,neutral,neutral,neutral
KAM (502).jpg,positive,positive,positive,positive
MAMN (518).jpg,neutral,neutral,neutral,neutral
MAMN (1074).jpg,neutral,negative,neutral,neutral
TAN(147).jpg,negative,negative,negative,negative
TAN(148).png,negative,negative,negative,negative
TAN(149).jpg,negative,neutral,negative,negative
KAM(444).jpg,neutral,negative,negative,negative
KAM(643).jpg,positive,positive,positive,positive
KAM(1120).jpg,positive,neutral,neutral,positive
TAN(150).jpg,neutral,neutral,neutral,neutral
TAN(151).jpg,negative,neutral,negative,negative
MAMN (676).jpg,neutral,neutral,neutral,neutral
KAM (374).jpg,positive,positive,negative,positive
KAM(1208).jpg,positive,positive,positive,positive
MAMN (450).jpg,neutral,neutral,neutral,neutral
KAM (418).jpg,negative,negative,negative,negative
MAMN (1874).jpg,neutral,neutral,neutral,neutral
TAN(152).jpg,neutral,neutral,neutral,neutral
MAMN (1529).jpg,neutral,neutral,neutral,neutral
KAM(125).png,negative,positive,negative,negative
KAM (795).jpg,positive,positive,positive,positive
MAMN (535).jpg,neutral,neutral,neutral,neutral
KAM(944).jpg,negative,neutral,negative,negative
KAM(144).jpg,positive,positive,negative,positive
MAMN (1637).jpg,neutral,neutral,neutral,neutral
KAM(175).png,neutral,negative,negative,negative
TAN(153).jpg,negative,neutral,negative,negative
KAM(714).jpg,positive,positive,positive,positive
KAM(770).jpg,positive,positive,neutral,positive
TAN(154).jpg,negative,negative,negative,negative
TAN(155).jpg,negative,neutral,negative,negative
KAM(1116).jpg,negative,negative,negative,negative
TAN(156).jpg,negative,negative,neutral,negative
MAMN (1387).jpg,neutral,neutral,neutral,neutral
TAN(157).jpg,negative,negative,negative,negative
MAMN (597).jpg,neutral,negative,neutral,neutral
KAM(1149).jpg,negative,negative,negative,negative
TAN(158).jpg,positive,positive,positive,positive
TAN(159).jpg,negative,negative,negative,negative
MAMN (1563).jpg,neutral,neutral,neutral,neutral
MAMN (418).jpg,negative,neutral,neutral,neutral
KAM(33).jpg,positive,positive,positive,positive
MAMN (1762).jpg,neutral,neutral,neutral,neutral
KAM(648).jpg,positive,positive,positive,positive
MAMN (451).jpg,neutral,neutral,neutral,neutral
KAM (348).jpg,positive,positive,positive,positive
TAN(160).jpg,negative,negative,negative,negative
MAMN (587).jpg,neutral,negative,neutral,neutral
MAMN (459).jpg,neutral,neutral,neutral,neutral
MAMN (1862).jpg,neutral,neutral,neutral,neutral
MAMN (1937).jpg,neutral,neutral,neutral,neutral
TAN(161).jpg,negative,negative,negative,negative
KAM (769).jpg,positive,positive,positive,positive
TAN(162).jpg,positive,negative,positive,positive
KAM(1087).jpg,positive,positive,positive,positive
TAN(163).jpg,negative,negative,negative,negative
MAMN (301).jpg,neutral,neutral,neutral,neutral
TAN(164).jpg,negative,negative,negative,negative
MAMN (894).jpg,neutral,neutral,neutral,neutral
TAN(165).jpg,negative,negative,negative,negative
TAN(166).jpg,negative,neutral,negative,negative
KAM(227).png,negative,negative,negative,negative
MAMN (1348).jpg,neutral,neutral,neutral,neutral
TAN(167).jpg,negative,negative,neutral,negative
KAM (222).png,negative,negative,negative,negative
KAM (611).jpg,positive,positive,positive,positive
MAMN (678).jpg,neutral,negative,neutral,neutral
TAN(168).jpg,negative,negative,negative,negative
KAM(427).jpg,positive,positive,positive,positive
MAMN (2038).jpg,neutral,neutral,neutral,neutral
KAM(546).jpg,positive,positive,positive,positive
TAN(169).jpg,negative,negative,negative,negative
MAMN (1731).jpg,neutral,neutral,neutral,neutral
TAN(170).jpg,negative,negative,negative,negative
TAN(171).jpg,negative,neutral,negative,negative
KAM(982).jpg,positive,positive,positive,positive
KAM(1065).jpg,positive,positive,neutral,positive
TAN(172).jpg,negative,negative,negative,negative
MAMN (1694).jpg,neutral,neutral,neutral,neutral
TAN(173).jpg,negative,negative,negative,negative
MAMN (1149).jpg,neutral,negative,neutral,neutral
KAM(105).png,negative,negative,negative,negative
TAN(174).jpg,positive,positive,positive,positive
KAM(10).jpg,negative,negative,negative,negative
TAN(175).jpg,negative,negative,neutral,negative
TAN(176).jpg,negative,negative,negative,negative
MAMN (651).jpg,neutral,negative,neutral,neutral
KAM(824).jpg,positive,positive,positive,positive
KAM(429).jpg,negative,positive,positive,positive
KAM(1276).jpg,positive,positive,positive,positive
KAM(30).jpg,positive,positive,positive,positive
MAMN (1473).jpg,neutral,neutral,neutral,neutral
MAMN (1065).jpg,neutral,neutral,neutral,neutral
TAN(177).jpg,positive,positive,positive,positive
MAMN (1634).jpg,neutral,neutral,neutral,neutral
MAMN (1086).jpg,neutral,neutral,neutral,neutral
KAM (178).jpg,positive,positive,positive,positive
KAM (754).jpg,negative,negative,negative,negative
TAN(178).jpg,negative,neutral,negative,negative
TAN(179).jpg,negative,negative,negative,negative
TAN(180).jpg,positive,neutral,positive,positive
MAMN (1171).jpg,neutral,neutral,neutral,neutral
MAMN (1334).jpg,neutral,neutral,neutral,neutral
MAMN (1480).jpg,neutral,negative,neutral,neutral
MAMN (772).jpg,neutral,neutral,neutral,neutral
MAMN (1793).jpg,positive,neutral,neutral,neutral
KAM(27).png,negative,negative,negative,negative
KAM(48).jpg,negative,negative,negative,negative
TAN(181).jpg,negative,neutral,negative,negative
TAN(182).jpg,negative,negative,negative,negative
KAM (218).png,neutral,negative,negative,negative
TAN(183).jpg,negative,negative,negative,negative
TAN(184).jpg,negative,negative,neutral,negative
KAM(275).jpg,positive,positive,positive,positive
MAMN (1716).jpg,neutral,neutral,neutral,neutral
KAM(1377).jpg,positive,positive,positive,positive
MAMN (1610).jpg,neutral,neutral,neutral,neutral
KAM(1061).jpg,positive,positive,positive,positive
KAM (586).jpg,positive,positive,neutral,positive
KAM(492).jpg,positive,positive,positive,positive
KAM (652).jpg,positive,neutral,positive,positive
KAM(666).jpg,negative,positive,positive,positive
TAN(185).jpg,neutral,neutral,negative,neutral
TAN(186).jpg,negative,negative,negative,negative
KAM (233).jpg,positive,positive,positive,positive
TAN(187).jpg,negative,negative,negative,negative
MAMN (1847).jpg,neutral,negative,neutral,neutral
KAM(1133).jpg,positive,positive,positive,positive
TAN(188).jpg,negative,negative,negative,negative
MAMN (1573).jpg,neutral,neutral,negative,neutral
TAN(189).jpg,negative,negative,negative,negative
MAMN (1424).jpg,neutral,neutral,neutral,neutral
TAN(190).jpg,negative,negative,negative,negative
TAN(191).jpg,negative,negative,negative,negative
KAM (294).jpg,positive,positive,positive,positive
TAN(192).jpg,negative,negative,negative,negative
KAM(1024).jpg,positive,positive,neutral,positive
KAM(381).jpg,positive,neutral,positive,positive
TAN(193).jpg,neutral,neutral,neutral,neutral
KAM(1198).jpg,positive,positive,positive,positive
KAM(197).jpg,positive,positive,positive,positive
TAN(194).jpg,negative,negative,negative,negative
TAN(195).jpg,negative,neutral,negative,negative
TAN(196).jpg,neutral,negative,negative,negative
KAM(1238).jpg,positive,positive,positive,positive
TAN(197).jpg,negative,negative,negative,negative
KAM (560).jpg,positive,positive,positive,positive
KAM(1186).jpg,positive,positive,positive,positive
TAN(198).jpg,negative,negative,negative,negative
MAMN (797).jpg,negative,neutral,neutral,neutral
TAN(199).jpg,negative,negative,negative,negative
KAM(1389).jpg,positive,positive,positive,positive
KAM (709).jpg,negative,negative,negative,negative
TAN(200).jpg,neutral,negative,neutral,neutral
TAN(201).jpg,negative,negative,negative,negative
TAN(202).jpg,neutral,positive,positive,positive
MAMN (610).jpg,neutral,neutral,neutral,neutral
TAN(203).jpg,negative,neutral,negative,negative
KAM(1267).jpg,positive,positive,positive,positive
KAM(1098).jpg,positive,positive,negative,positive
MAMN (1541).jpg,neutral,neutral,neutral,neutral
TAN(204).jpg,negative,negative,negative,negative
KAM (293).jpg,negative,negative,negative,negative
TAN(205).jpg,negative,negative,negative,negative
MAMN (1307).jpg,neutral,neutral,neutral,neutral
MAMN (568).jpg,neutral,neutral,neutral,neutral
KAM(337).jpg,positive,positive,positive,positive
MAMN (344).jpg,neutral,negative,neutral,neutral
TAN(206).jpg,positive,positive,positive,positive
TAN(207).jpg,negative,negative,negative,negative
KAM(143).jpg,positive,positive,positive,positive
KAM(1382).jpg,negative,positive,positive,positive
TAN(208).jpg,negative,negative,negative,negative
TAN(209).jpg,negative,neutral,negative,negative
TAN(210).jpg,negative,negative,negative,negative
TAN(211).jpg,negative,negative,neutral,negative
KAM(426).jpg,negative,negative,negative,negative
TAN(212).jpg,negative,neutral,negative,negative
TAN(213).jpg,neutral,neutral,neutral,neutral
KAM (635).jpg,positive,positive,positive,positive
MAMN (1546).jpg,neutral,neutral,neutral,neutral
TAN(214).jpg,negative,neutral,negative,negative
TAN(215).jpg,negative,negative,negative,negative
TAN(216).jpg,negative,neutral,neutral,neutral
TAN(217).jpg,negative,negative,negative,negative
KAM(609).jpg,positive,neutral,positive,positive
TAN(218).jpg,negative,negative,negative,negative
TAN(219).jpg,negative,neutral,negative,negative
KAM(40).png,negative,negative,negative,negative
TAN(220).jpg,positive,positive,positive,positive
KAM (115).png,negative,negative,negative,negative
kiwi (346).jpg,negative,neutral,negative,negative
KAM (196).jpg,neutral,negative,negative,negative
MAMN (21).png,neutral,neutral,neutral,neutral
KAM (762).jpg,positive,positive,positive,positive
yellow (27).jpg,negative,negative,negative,negative
KAM(776).jpg,positive,positive,positive,positive
KAM(959).jpg,positive,neutral,positive,positive
KAM(1015).jpg,negative,positive,positive,positive
grape (72).jpg,neutral,neutral,neutral,neutral
KAM(1082).jpg,positive,positive,positive,positive
meme55.jpg,negative,negative,negative,negative
MAMN (485).jpg,neutral,neutral,neutral,neutral
avocados (399).jpg,negative,negative,negative,negative
MAMN (611).jpg,neutral,neutral,neutral,neutral
MAMN (864).jpg,neutral,neutral,neutral,neutral
osage (365).jpg,negative,negative,negative,negative
MAMN (539).jpg,neutral,neutral,neutral,neutral
MAMN (486).jpg,neutral,neutral,neutral,neutral
osage (21).jpg,negative,negative,negative,negative
MAMN (2089).jpg,neutral,neutral,neutral,neutral
MAMN (529).jpg,neutral,neutral,neutral,neutral
kiwi (287).jpg,neutral,neutral,neutral,neutral
MAMN (1776).jpg,neutral,neutral,neutral,neutral
KAM (422).jpg,negative,negative,negative,negative
KAM (94).png,positive,positive,positive,positive
